"","GSM230349","GSM230350","GSM230351","GSM230352","GSM230353","GSM230354","GSM230355","GSM230356","GSM230357","GSM230358","GSM230359","GSM230360"
"A1BG",4.73044435957823,4.96228189249722,5.09803374059861,5.20374968570784,5.09679103025064,4.85867765365685,5.06640703141955,5.12909639939113,5.5129387820868,5.40071741749469,5.01132087481109,5.05579478561909
"A1BG-AS1",3.45683800181642,3.32161121403062,3.2165852018839,3.41263633979738,3.10614786090445,3.507274525457,3.29805220293829,3.37478840642313,3.15322135721272,3.74077874846437,3.38830652680004,3.31581799990703
"A1CF",2.24187709595698,2.30696439972207,2.37815971574712,2.30071627304359,2.35371010830701,2.48159528419802,2.56445239681437,2.26958002029256,2.23326481989174,2.31078759033565,2.30027660039974,2.39160089246643
"A2M",5.85197442442329,5.79707073161559,5.74294061272223,6.30087309109974,6.05310812728411,6.1755266891718,5.99594297700585,6.20946894051352,6.11431562976257,5.9945815521931,6.10734709215591,6.08017577703666
"A2M-AS1",2.59510825311917,2.52782794648846,2.57916566638235,2.42283461811415,2.26685139263454,2.45330112015288,2.64545903644965,2.57547634795453,2.63477040037192,2.57689030589749,2.63208282901012,2.61812282597398
"A2ML1",2.21963611464817,2.25448471726135,2.17391091249492,2.15834327608308,2.22452869842193,2.32930627980135,2.2733289032947,2.3256849879813,2.36636634686208,2.25612887581068,2.26947553640712,2.17595796485178
"A2MP1",2.57714393517616,2.94907454911309,2.587294015923,2.80220138274431,2.90512928432857,2.94164439506285,2.72607618061331,2.8631329532266,3.10341109227602,2.95655974409491,2.84453211672732,3.25284823880094
"A4GALT",4.64640671039059,4.77919199203538,4.70646999292352,4.52217997004486,4.77165365697651,4.9136119759561,4.91157707321902,4.7796532546228,4.63054167320392,4.67923643147227,4.41600304738065,4.58264732678875
"A4GNT",2.91608957248424,3.0972499098246,2.55010883137784,2.64243142050206,2.86303507200545,2.8770559015483,2.897458187495,2.82109351426711,2.79194438407094,2.76635669192661,2.80059114653718,2.60726991819232
"AA06",3.1270366189403,3.20003713810293,2.9603782754872,3.48047405602384,3.23225730188636,2.8202872755949,3.16816425480776,3.22865393809543,3.05699324152938,2.94375660366801,2.95786540525661,2.89332586498792
"AAAS",5.38514580497949,5.36261145549996,5.38790696612592,5.35008561381889,5.26480508233324,5.38502880973303,5.24838269081151,5.54829360144288,5.33960777068769,5.77268918173157,5.66714849260996,5.47967564568792
"AACS",4.72383677656691,4.45516210968928,4.7579067509656,5.00684395949581,4.9141037029261,4.9863093398051,4.84001793725406,4.95412686571566,5.22029399900697,5.15196344402104,4.80296450738895,4.76842452216511
"AACSP1",1.90089814856297,2.17988424179161,1.99864615199767,2.30652979255527,2.04140781907152,2.24259309753084,2.25494062245289,2.13766317247327,2.12422371918101,2.11847407523769,2.05385309029309,2.43797075098091
"AADAC",2.36079795984801,2.70635699906142,2.43714435568014,2.47995095524665,2.53459251139425,2.49351812153764,2.57165380828068,2.57593320603568,2.53970801090012,2.44247621314325,2.70615341979953,2.6325725280604
"AADACL2",1.92672689494406,2.01470531779338,1.99452351921589,1.90386757072718,2.05467176064068,1.91193622140408,1.98046744877564,2.04020359747607,2.10652930043171,1.91020090160166,1.9961919241365,1.89080229637975
"AADACP1",2.0665892863487,2.12785370181778,2.04503549816644,2.25148574267482,2.14342886956077,2.16673672147253,2.25174603425678,2.1243694000982,2.05347610429687,2.18659594906154,2.18517391160071,2.12487300162539
"AADAT",1.9640497958496,2.20275487032518,2.24017077062285,2.12436940009821,2.3311315746438,2.44290412718351,2.1705227683943,2.3407018873223,2.3258240831544,2.20498455267503,2.16147545633365,2.2032581121369
"AAGAB",4.98821026541139,4.93962799589453,4.92451374098568,4.79786518569022,4.90323937845034,5.0128394566652,5.07602401232615,5.10714991606527,4.94250382802068,4.99504925058465,4.99436814713942,4.95170655001924
"AAK1",3.73811385281687,3.77996220244343,3.74310809847775,4.00366979500901,3.90950154690685,4.0352638504928,4.0501339217481,3.9300476961333,3.84824428989782,3.8439889533885,3.98897686158401,3.92653889145393
"AAMDC",3.72797509240643,3.87806639362062,3.90876665706918,4.09419170755461,3.96142320383458,4.0428744457803,4.0219830636969,3.62058284540958,3.91046100690088,4.17015527224504,4.21867270359972,4.08326555567294
"AAMP",6.97621791677712,7.02518224932857,6.93919069290272,6.99474929017699,6.88829134230776,6.93808473036412,6.83339447951028,6.915217511388,7.01041163998744,6.89231359926546,6.96686173172813,6.94807578839899
