tau,pi0,effect_size,method,bFDR,FDR,Power
0.0,0.8,2.0,t-test,0.07,0.0948510101010101,0.05
0.0,0.8,2.0,Oracle,0.05,0.041743506493506485,0.154
0.0,0.8,2.0,Data-driven,0.04,0.03365512265512265,0.11150000000000002
0.0,0.8,2.0,Weighted,0.08,0.07450974025974025,0.07575000000000003
0.0,0.8,2.0,E-weighted,0.08,0.07399025974025973,0.07950000000000002
0.0,0.8,3.5,t-test,0.09,0.03870964748770798,0.49975
0.0,0.8,3.5,Oracle,0.07,0.015135509130830732,0.7122499999999999
0.0,0.8,3.5,Data-driven,0.02,0.00490663806805111,0.5515000000000001
0.0,0.8,3.5,Weighted,0.11,0.02675979547732183,0.5652500000000003
0.0,0.8,3.5,E-weighted,0.09,0.028270190407666696,0.6192500000000002
0.0,0.8,5.0,t-test,0.12,0.020122545865230365,0.8312499999999998
0.0,0.8,5.0,Oracle,0.04,0.005692476113207821,0.9677499999999998
0.0,0.8,5.0,Data-driven,0.0,0.0,0.7952500000000003
0.0,0.8,5.0,Weighted,0.02,0.010323611856119599,0.879
0.0,0.8,5.0,E-weighted,0.1,0.014777284605760025,0.91375
0.0,0.8,6.5,t-test,0.1,0.009387694200408773,0.9485000000000001
0.0,0.8,6.5,Oracle,0.11,0.003176829268292683,0.9984999999999999
0.0,0.8,6.5,Data-driven,0.0,0.0,0.8955000000000001
0.0,0.8,6.5,Weighted,0.02,0.003216501619903417,0.9689999999999996
0.0,0.8,6.5,E-weighted,0.07,0.005191461298650003,0.9809999999999997
0.0,0.8,8.0,t-test,0.06,0.005386245867953186,0.987
0.0,0.8,8.0,Oracle,0.06,0.0014634146341463415,1.0
0.0,0.8,8.0,Data-driven,0.0,0.0,0.9422500000000003
0.0,0.8,8.0,Weighted,0.04,0.0016957026713124274,0.9957499999999999
0.0,0.8,8.0,E-weighted,0.08,0.0029036004645760743,0.9977499999999998
0.0,0.95,2.0,t-test,0.1,0.09,0.02300000000000001
0.0,0.95,2.0,Oracle,0.09,0.07116666666666666,0.09799999999999993
0.0,0.95,2.0,Data-driven,0.1,0.07533333333333334,0.08999999999999993
0.0,0.95,2.0,Weighted,0.11,0.09333333333333332,0.03600000000000002
0.0,0.95,2.0,E-weighted,0.12,0.1,0.03700000000000001
0.0,0.95,3.5,t-test,0.09,0.07451190476190477,0.256
0.0,0.95,3.5,Oracle,0.11,0.0368015873015873,0.5930000000000002
0.0,0.95,3.5,Data-driven,0.04,0.019750000000000004,0.488
0.0,0.95,3.5,Weighted,0.06,0.0586984126984127,0.39099999999999996
0.0,0.95,3.5,E-weighted,0.07,0.06386507936507937,0.406
0.0,0.95,5.0,t-test,0.13,0.04669733044733044,0.6749999999999998
0.0,0.95,5.0,Oracle,0.1,0.012323232323232323,0.9460000000000004
