tau,pi0,effect_size,method,bFDR,FDR,Power
0.0,0.8,2.0,t-test,0.0782,0.07351291874791879,0.04535749999999894
0.0,0.8,2.0,Oracle,0.0779,0.05149039630905721,0.1443300000000004
0.0,0.8,2.0,Data-driven,0.0459,0.03426065529241987,0.10085499999999845
0.0,0.8,2.0,Weighted,0.0757,0.06456851647535469,0.07075999999999792
0.0,0.8,2.0,E-weighted,0.0785,0.06782749738565524,0.07839249999999798
0.0,0.8,3.5,t-test,0.0783,0.03972512306199521,0.47548249999999853
0.0,0.8,3.5,Oracle,0.08,0.018384999056674418,0.7096875000000005
0.0,0.8,3.5,Data-driven,0.0206,0.005420014261668442,0.542894999999998
0.0,0.8,3.5,Weighted,0.0617,0.02635331450727752,0.5646300000000015
0.0,0.8,3.5,E-weighted,0.0778,0.03087105067416363,0.6061800000000042
0.0,0.8,5.0,t-test,0.0801,0.01975397180620204,0.8286100000000018
0.0,0.8,5.0,Oracle,0.0832,0.005564129933620835,0.9617300000000487
0.0,0.8,5.0,Data-driven,0.0011,0.0002141116984885021,0.7977950000000007
0.0,0.8,5.0,Weighted,0.0526,0.00982670632328467,0.8790249999999955
0.0,0.8,5.0,E-weighted,0.084,0.01307831623050189,0.9075224999999948
0.0,0.8,6.5,t-test,0.0825,0.00957461138631267,0.9516400000000336
0.0,0.8,6.5,Oracle,0.078,0.002340799148568963,0.998800000000008
0.0,0.8,6.5,Data-driven,0.0,2.702702702702703e-06,0.8996549999999995
0.0,0.8,6.5,Weighted,0.043,0.003542528414656833,0.972595000000067
0.0,0.8,6.5,E-weighted,0.0797,0.005491243029799074,0.9842375000000653
0.0,0.8,8.0,t-test,0.0831,0.005204022473903787,0.9886900000000564
0.0,0.8,8.0,Oracle,0.0802,0.0021895354975899096,0.9999950000000001
0.0,0.8,8.0,Data-driven,0.0,0.0,0.9468250000000286
0.0,0.8,8.0,Weighted,0.0362,0.0015673507632469439,0.99576250000003
0.0,0.8,8.0,E-weighted,0.0863,0.00312524735238285,0.9987700000000094
0.0,0.95,2.0,t-test,0.1039,0.10001138888888896,0.025979999999999233
0.0,0.95,2.0,Oracle,0.0957,0.08344706349206372,0.08949000000000626
0.0,0.95,2.0,Data-driven,0.0827,0.07363714285714296,0.07963000000000563
0.0,0.95,2.0,Weighted,0.0978,0.09431357142857147,0.039650000000000886
0.0,0.95,2.0,E-weighted,0.0994,0.09570000000000006,0.04073000000000096
0.0,0.95,3.5,t-test,0.0973,0.07389000971251009,0.2579199999999946
0.0,0.95,3.5,Oracle,0.0962,0.036773565046065125,0.6077400000000032
0.0,0.95,3.5,Data-driven,0.0478,0.020273387445887327,0.5199999999999994
0.0,0.95,3.5,Weighted,0.0923,0.05755137778887779,0.38936000000000015
0.0,0.95,3.5,E-weighted,0.098,0.060267898490398465,0.402310000000001
0.0,0.95,5.0,t-test,0.0973,0.04284450799200813,0.6886700000000002
0.0,0.95,5.0,Oracle,0.0948,0.01502345515595523,0.9477299999999393
0.0,0.95,5.0,Data-driven,0.0086,0.0019855591630591634,0.8369399999999747
0.0,0.95,5.0,Weighted,0.0853,0.0277866577866577,0.818339999999982
0.0,0.95,5.0,E-weighted,0.097,0.0306879895104894,0.8322599999999764
0.0,0.95,6.5,t-test,0.0924,0.02378706321456316,0.9068699999999428
0.0,0.95,6.5,Oracle,0.0964,0.009987778887779039,0.998739999999998
0.0,0.95,6.5,Data-driven,0.0002,2.0202020202020203e-05,0.932869999999938
0.0,0.95,6.5,Weighted,0.0742,0.01352652042402056,0.9674899999999549
0.0,0.95,6.5,E-weighted,0.0872,0.015573873903874063,0.9733099999999604
0.0,0.95,8.0,t-test,0.0952,0.016313708513708686,0.9797299999999677
0.0,0.95,8.0,Oracle,0.0927,0.00958130203130217,1.0
0.0,0.95,8.0,Data-driven,0.0,0.0,0.9720399999999565
0.0,0.95,8.0,Weighted,0.0778,0.009072074592074715,0.9973799999999954
0.0,0.95,8.0,E-weighted,0.1035,0.012071478521478716,0.998369999999997
0.0,0.99,2.0,t-test,0.0975,0.09667999999999997,0.02105
0.0,0.99,2.0,Oracle,0.0964,0.09383999999999995,0.07565
0.0,0.99,2.0,Data-driven,0.0915,0.08968166666666663,0.07345
0.0,0.99,2.0,Weighted,0.0979,0.09696904761904761,0.0302
0.0,0.99,2.0,E-weighted,0.0985,0.09745238095238093,0.03055
0.0,0.99,3.5,t-test,0.0953,0.08960333333333338,0.175
0.0,0.99,3.5,Oracle,0.099,0.06800285714285724,0.53495
0.0,0.99,3.5,Data-driven,0.075,0.05532976190476185,0.50975
0.0,0.99,3.5,Weighted,0.0907,0.08235333333333347,0.27375
0.0,0.99,3.5,E-weighted,0.0923,0.08333666666666681,0.27575
0.0,0.99,5.0,t-test,0.0939,0.0715283333333335,0.52445
0.0,0.99,5.0,Oracle,0.1007,0.04195809523809482,0.94085
0.0,0.99,5.0,Data-driven,0.0412,0.01831500000000006,0.9082
0.0,0.99,5.0,Weighted,0.0949,0.0598649999999999,0.7254
0.0,0.99,5.0,E-weighted,0.0974,0.0613380952380952,0.72905
0.0,0.99,6.5,t-test,0.0985,0.05480499999999963,0.8452
0.0,0.99,6.5,Oracle,0.0946,0.03467476190476175,0.99885
0.0,0.99,6.5,Data-driven,0.0078,0.002926666666666664,0.9927
0.0,0.99,6.5,Weighted,0.0966,0.04275666666666623,0.96055
0.0,0.99,6.5,E-weighted,0.1,0.044368095238094735,0.9623
0.0,0.99,8.0,t-test,0.1031,0.04493142857142798,0.96845
0.0,0.99,8.0,Oracle,0.1,0.03599619047619024,1.0
0.0,0.99,8.0,Data-driven,0.0005,0.00016666666666666666,0.9991
0.0,0.99,8.0,Weighted,0.0986,0.03697333333333305,0.9978
0.0,0.99,8.0,E-weighted,0.1028,0.038609999999999665,0.99815
0.3,0.8,2.0,t-test,0.0766,0.0690422465851143,0.061989999999998324
0.3,0.8,2.0,Oracle,0.0821,0.06578562259592836,0.07811499999999787
0.3,0.8,2.0,Data-driven,0.0597,0.051385602591852396,0.05419999999999851
0.3,0.8,2.0,Weighted,0.072,0.06159734087764658,0.08183499999999798
0.3,0.8,2.0,E-weighted,0.0776,0.0652776497762644,0.08950749999999816
0.3,0.8,3.5,t-test,0.0827,0.0358360390563553,0.4900350000000014
0.3,0.8,3.5,Oracle,0.0793,0.024882974682181456,0.658330000000001
0.3,0.8,3.5,Data-driven,0.0316,0.012487408808571366,0.5095000000000016
0.3,0.8,3.5,Weighted,0.0668,0.025166181249625302,0.570912500000002
0.3,0.8,3.5,E-weighted,0.0835,0.029466435763765376,0.6078475000000035
0.3,0.8,5.0,t-test,0.0791,0.018699704993292553,0.7965275000000056
0.3,0.8,5.0,Oracle,0.0802,0.008102743942286408,0.9386150000000153
0.3,0.8,5.0,Data-driven,0.0065,0.0012450459916781866,0.792597499999998
0.3,0.8,5.0,Weighted,0.0584,0.009932357669027439,0.8559124999999985
0.3,0.8,5.0,E-weighted,0.0818,0.013096897785433168,0.8844374999999968
0.3,0.8,6.5,t-test,0.0774,0.010331570379510595,0.9249800000000121
0.3,0.8,6.5,Oracle,0.0754,0.002979222387400151,0.9947075000000335
0.3,0.8,6.5,Data-driven,0.0001,3.5489626495818445e-05,0.8962724999999963
0.3,0.8,6.5,Weighted,0.0438,0.004034678705020962,0.9554300000000436
0.3,0.8,6.5,E-weighted,0.0822,0.006306251168188532,0.9713100000000601
0.3,0.8,8.0,t-test,0.0802,0.006462741832687435,0.9747050000000681
0.3,0.8,8.0,Oracle,0.0789,0.00219575954627709,0.9998950000000008
0.3,0.8,8.0,Data-driven,0.0,0.0,0.9430850000000266
0.3,0.8,8.0,Weighted,0.0364,0.002021986034559295,0.9884725000000569
0.3,0.8,8.0,E-weighted,0.0784,0.003610819532298469,0.9949250000000335
0.3,0.95,2.0,t-test,0.0996,0.09578190476190478,0.0346500000000003
0.3,0.95,2.0,Oracle,0.0941,0.08862904761904765,0.043180000000001294
0.3,0.95,2.0,Data-driven,0.0853,0.08150333333333336,0.03940000000000097
0.3,0.95,2.0,Weighted,0.0986,0.09509023809523814,0.04633000000000145
0.3,0.95,2.0,E-weighted,0.1003,0.0966485714285715,0.0471300000000015
0.3,0.95,3.5,t-test,0.0941,0.06629480408480418,0.30576999999999727
0.3,0.95,3.5,Oracle,0.095,0.05009288489288503,0.503019999999999
0.3,0.95,3.5,Data-driven,0.0603,0.03564878066378059,0.42925000000000274
0.3,0.95,3.5,Weighted,0.0871,0.054779548784548944,0.4206600000000022
0.3,0.95,3.5,E-weighted,0.0923,0.057124238539238516,0.43111000000000166
0.3,0.95,5.0,t-test,0.0961,0.03906996003996006,0.6705400000000009
0.3,0.95,5.0,Oracle,0.096,0.019519618159618154,0.9096299999999423
0.3,0.95,5.0,Data-driven,0.0257,0.006543946608946658,0.8146399999999838
0.3,0.95,5.0,Weighted,0.0856,0.027200497557997444,0.7970399999999841
0.3,0.95,5.0,E-weighted,0.0972,0.02983979215229198,0.809979999999981
0.3,0.95,6.5,t-test,0.0928,0.02485288905538898,0.8712199999999563
0.3,0.95,6.5,Oracle,0.0931,0.010558235098235249,0.9940599999999906
0.3,0.95,6.5,Data-driven,0.0013,0.0003706060606060606,0.9299299999999395
0.3,0.95,6.5,Weighted,0.0803,0.015150099067599145,0.9466499999999435
0.3,0.95,6.5,E-weighted,0.0961,0.01757132284382291,0.9541599999999469
0.3,0.95,8.0,t-test,0.0942,0.017396778221778295,0.956679999999945
0.3,0.95,8.0,Oracle,0.0962,0.00982176157176173,0.9998599999999999
0.3,0.95,8.0,Data-driven,0.0001,9.090909090909091e-06,0.967909999999953
0.3,0.95,8.0,Weighted,0.0723,0.009675846375846503,0.9903099999999826
0.3,0.95,8.0,E-weighted,0.0942,0.012258373848374039,0.993039999999987
0.3,0.99,2.0,t-test,0.0949,0.093925,0.0303
0.3,0.99,2.0,Oracle,0.1076,0.10559666666666664,0.0384
0.3,0.99,2.0,Data-driven,0.1069,0.10594666666666665,0.03725
0.3,0.99,2.0,Weighted,0.0956,0.09479166666666666,0.03855
0.3,0.99,2.0,E-weighted,0.0955,0.09479166666666666,0.0386
0.3,0.99,3.5,t-test,0.1016,0.09295547619047625,0.21485
0.3,0.99,3.5,Oracle,0.1013,0.08212333333333363,0.38385
0.3,0.99,3.5,Data-driven,0.0876,0.0732883333333335,0.37185
0.3,0.99,3.5,Weighted,0.0947,0.0844466666666668,0.3075
0.3,0.99,3.5,E-weighted,0.0966,0.08598833333333346,0.3097
0.3,0.99,5.0,t-test,0.0994,0.07268000000000029,0.54855
0.3,0.99,5.0,Oracle,0.098,0.04754976190476137,0.8835
0.3,0.99,5.0,Data-driven,0.0562,0.02962333333333338,0.8533
0.3,0.99,5.0,Weighted,0.0961,0.059748095238095246,0.72045
0.3,0.99,5.0,E-weighted,0.0986,0.06117476190476197,0.72365
0.3,0.99,6.5,t-test,0.0965,0.053441190476190004,0.80915
0.3,0.99,6.5,Oracle,0.0979,0.036236190476190255,0.9935
0.3,0.99,6.5,Data-driven,0.0202,0.007816666666666663,0.9828
0.3,0.99,6.5,Weighted,0.0931,0.0422247619047614,0.93175
0.3,0.99,6.5,E-weighted,0.0966,0.04382476190476135,0.9336
0.3,0.99,8.0,t-test,0.1028,0.04691142857142793,0.9405
0.3,0.99,8.0,Oracle,0.1013,0.036371428571428305,0.99985
0.3,0.99,8.0,Data-driven,0.003,0.0010166666666666668,0.99765
0.3,0.99,8.0,Weighted,0.0932,0.03617666666666641,0.9913
0.3,0.99,8.0,E-weighted,0.0993,0.0385466666666663,0.99195
